Chapter,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,3.13,3.14,3.15,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8
1.1A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,H,N,L,L,H,L,M,N,N,N,N,H,N,L,N,N,N,N,N,N,N,N,N,N,M,M,N,N,N,N,L,N,N,N,L,N,L
1.1B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.5A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.5B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.7A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.7B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.1A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.1B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.1C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3.10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.5,L,L,L,N,N,L,L,L,L,L,N,N,N,N,L,H,L,L,M,N,N,N,N,N,N,N,N,N,N,M,L,L,L,M,L,N,N,N,N,N,N,M,L,H,H,H,L,M,L,L,L,M,H,M
5.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5.11,M,M,M,N,N,H,M,H,M,M,N,N,N,N,M,H,M,M,H,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,N,N,N,N,N,N,H,M,M,H,H,M,M,M,M,M,M,M,M
5.12,L,L,M,N,N,M,M,M,M,N,N,N,N,N,M,M,M,M,M,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,N,N,N,N,N,N,H,M,H,H,H,M,M,M,M,M,M,H,H
5.13,L,L,L,N,N,L,M,M,M,L,N,N,N,N,M,M,M,M,M,N,N,N,N,N,N,N,N,N,N,M,L,L,L,L,L,N,N,N,N,N,N,M,L,H,M,M,L,M,L,L,L,L,M,L
6.1A,N,N,L,N,N,N,L,L,L,N,N,N,N,N,M,M,L,M,N,N,N,N,N,N,N,N,N,N,N,L,M,M,L,L,L,N,N,N,N,N,N,M,N,M,L,L,H,H,H,M,L,L,M,H
6.1C,N,N,L,N,N,N,L,L,L,N,N,N,N,N,L,L,N,L,N,N,N,N,N,N,N,N,N,N,N,L,M,M,L,L,L,N,N,N,N,N,N,M,N,L,L,L,H,H,M,L,L,L,M,H
6.2A,N,L,M,N,N,H,H,H,M,L,N,N,N,N,L,L,N,L,L,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,N,L,L,L,M,M,L,L,L,M,M,H
6.2B,N,L,M,N,N,H,H,H,M,L,N,N,N,N,L,L,N,L,L,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,M,N,M,M,L,M,M,L,L,L,M,M,H
6.3A,M,M,M,N,N,L,L,M,M,L,N,N,N,N,H,H,H,M,L,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,M,L,M,M,L,N,N,N,N,N,N,N,N
6.3B,N,N,L,N,N,N,L,L,M,N,N,N,N,N,H,H,M,H,L,N,N,N,N,N,N,N,N,N,N,M,M,M,L,L,L,N,N,N,N,N,N,M,L,M,L,L,N,N,N,N,N,N,N,N
6.3C,H,H,H,N,N,H,H,H,H,M,N,N,N,N,M,M,M,M,L,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,L,L,L,L,N,N,N,N,N,N,N,N
6.4A,H,H,M,N,N,M,M,H,H,M,N,N,N,N,H,H,M,M,M,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,L,L,L,L,N,N,N,N,N,N,N,N
6.4B,H,M,L,N,N,M,L,M,L,M,N,N,N,N,M,L,L,M,L,N,N,N,N,N,N,N,N,N,N,M,L,L,M,H,M,N,N,N,N,N,N,M,L,L,M,L,H,H,H,M,M,H,N,N
6.5A,H,H,H,N,N,H,H,H,H,H,N,N,N,N,M,M,M,M,M,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,L,L,L,L,N,N,N,N,N,N,N,N
6.5B,H,H,H,N,N,H,H,H,H,H,N,N,N,N,M,M,M,M,M,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,L,L,L,L,N,N,N,N,N,N,N,N
6.6A,H,H,H,N,N,H,H,H,H,H,N,N,N,N,M,M,M,M,M,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,L,L,L,L,N,N,N,N,N,N,N,N
6.6B,H,H,H,N,N,H,H,H,H,H,N,N,N,N,M,M,M,M,M,N,N,N,N,N,N,N,N,N,N,L,L,L,L,L,L,N,N,N,N,N,N,L,L,L,L,L,N,N,N,N,N,N,N,N
6.6C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.1A,M,L,M,L,L,L,M,L,N,L,L,L,M,L,L,M,M,H,L,M,M,H,H,M,L,L,L,L,H,M,M,M,M,M,L,H,M,H,M,L,M,H,H,M,L,M,L,H,L,H,L,H,M,M
7.1B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.2A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.2B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7.6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8.2A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8.2B,H,M,M,N,N,M,L,L,L,L,N,N,N,N,M,M,L,M,L,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,N,N,N,N,N,N,H,L,H,M,M,L,H,L,M,M,L,H,H
8.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9.3,N,N,N,N,N,N,N,N,L,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,M,L,L,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,L,L,N
9.4,N,N,L,N,N,L,M,M,H,M,N,N,N,N,N,N,N,L,L,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,N,N,N,N,N,N,M,N,M,M,L,M,M,M,L,L,L,M,H
9.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9.6,N,L,L,M,L,N,L,N,N,L,L,L,N,N,N,N,L,M,N,M,M,M,M,L,L,N,N,L,L,N,M,N,N,N,N,L,N,L,N,N,N,H,H,M,H,M,M,H,M,H,L,H,M,H
9.7,N,N,M,N,N,N,L,M,H,H,N,N,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,L,N,L,H
9.8,N,N,N,N,N,N,N,L,H,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,H,H,N,N,N,N,N,N,N,N,M,N,N,N,N,N,N,M,N,M,H
10.1,L,L,N,N,N,N,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,H,M,N,N,N,N,N,N,M,N,L,N,N,N,M,L,L,L,L,M,M
10.2,N,L,L,N,N,L,N,L,M,M,N,N,N,N,L,L,L,L,M,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,N,N,N,N,N,N,H,L,H,M,M,L,H,M,M,M,H,H,H
10.3A,N,N,N,N,N,L,L,L,M,L,N,N,N,N,L,N,N,L,L,N,N,N,N,N,N,N,N,N,N,H,H,H,H,H,H,N,N,N,N,N,N,H,L,H,M,M,L,H,M,M,H,H,H,H
10.3B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,N,M,M,H,M,N,N,N,N,N,N,M,N,N,N,N,N,M,N,N,N,N,H,H
10.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,H,H,M,M,M,N,N,N,N,N,N,L,L,L,L,L,L,L,L,L,L,M,H,H
10.5,N,N,N,N,N,N,N,N,H,M,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,L,M,H,N,N,N,N,N,N,N,N,L,N,N,N,N,N,M,L,L,H,H
10.6,L,L,L,N,N,L,L,M,M,L,N,N,N,N,L,M,L,L,M,N,N,N,N,N,N,N,N,N,N,M,H,H,H,L,M,N,N,N,N,N,N,M,L,M,L,M,M,M,M,H,M,H,H,H
